name,rating,features,address,website,contact,plus_code
Pind Restaurant Iqbal Town,4.2,"Dine-in, Takeout, No-contact delivery","Fashion Avenue, 33 Main Blvd Allama Iqbal Town, College Block Allama Iqbal Town, Lahore, Punjab 56000, Pakistan",NA,+92 42 37800682,"G76X+HX Lahore, Pakistan"
Jugni Restaurant,4.2,"Dine-in, Takeout, Delivery","51 Gaddafi Stadium, Block E 2 Gulberg III, Lahore, Punjab 54000, Pakistan",https://www.facebook.com/Jugni-Restaurant-2364452530251858/,+92 321 7044449,"G87J+8V Lahore, Pakistan"
MASALAWALA BY QASAR-E-NOOR,4.2,"Dine-in, Takeout, Delivery","9-e-2 Block E 2 Gulberg III, Lahore, Punjab, Pakistan",http://www.qasarenoor.com/masalawala-resturant/,+92 308 8789789,"G85Q+86 Lahore, Pakistan"
Salt 'n' Pepper Restaurant,4.1,"Dine-in, Drive-through","48 Commercial Zone, Liberty Market Gulberg III, Lahore, Punjab, Pakistan",http://www.saltnpepper.com.pk/,+92 42 35752893,"G85R+RG Lahore, Pakistan"
The Skye Restaurant,4.0,"Dine-in, Takeout, Delivery","Block C3, 3 Noor Jehan Rd, Block C3 Block C 3 Gulberg III, Lahore, Punjab 54000, Pakistan",https://indigoheights.com/best-rooftop-hi-tea-buffet-restaurant-lahore/,+92 316 4778886,"G84X+VC Lahore, Pakistan"
Bon Vivant Palais,4.2,"Dine-in, Takeout, No-contact delivery","54, D1 Sir Syed Rd, Block D1 Gulberg III, Lahore, Punjab 54000, Pakistan",NA,+92 42 111 111 157,"G89W+JR Lahore, Pakistan"
Bagh - The Desi Experience,3.9,"Dine-in, Takeout","HEC Park, Off MM Alam Rd, Block B2 Block B 2 Gulberg III, Lahore, Punjab 54600, Pakistan",https://m.facebook.com/Bagh-A-Pakistani-Cuisine-212291949706508/,+92 320 9992244,"G963+C4 Lahore, Pakistan"
Café Aylanto,4.2,"Dine-in, Takeout, No-contact delivery","12 C1 MM Alam Rd, Block C1 Block C 1 Gulberg III, Lahore, Punjab, Pakistan",http://www.cafeaylanto.org/orderonlinelhegulberg,+92 42 35751886,"G992+2M Lahore, Pakistan"
Table Three Restaurant,4.1,"Dine-in, Takeout, No-contact delivery","2-AL, Block L Gulberg III, Lahore, Punjab 54000, Pakistan",NA,+92 42 35861628,"G83J+CX Lahore, Pakistan"
Paola's Cosa Nostra,4.2,"Dine-in, Takeout, No-contact delivery","23-A Dr Mateen Fatima Rd, Block H Gulberg، Lahore, Punjab, Pakistan",https://www.instagram.com/cosanostra_paolas/?hl=en,+92 304 1112166,"G9G2+RJ Lahore, Pakistan"
Mouthful,4.0,"Dine-in, Takeout","43 C Street 1, Block C1 Block C 1 Gulberg III, Lahore, Punjab 54000, Pakistan",NA,NA,"G87X+JQ Lahore, Pakistan"
Yum Chinese & Thai,4.3,"Dine-in, Curbside pickup, No-contact delivery","24 Sir Syed Rd, Block K Gulberg 2, Lahore, Punjab, Pakistan",http://www.yumpakistan.pk/,+92 311 1122101,"G8CX+JF Lahore, Pakistan"
Tuscany Courtyard Lahore,4.2,"Dine-in, Curbside pickup, No-contact delivery","16-C-1 MM Alam Rd, Block C1 Block C 1 Gulberg III, Lahore, Punjab 54000, Pakistan",https://www.facebook.com/TuscanyCourtyardLahore/,+92 42 35758515,"G982+GM Lahore, Pakistan"
Namak Nomadic Cuisine,4.1,"Dine-in, Curbside pickup, Delivery","Maulana Shaukat Ali Rd, near Akbar Chowk and Yasir broast،, Block D Faisal Town, Lahore, Punjab 54770, Pakistan",NA,+92 42 111 333 555,"F886+M2 Lahore, Pakistan"
Options Restaurant,4.3,"Dine-in, Takeout, Delivery","Al-Qadir Heights, Babar Block Garden Town, Lahore, Punjab, Pakistan",http://options.pk/,+92 333 1404444,"G82G+VJ Lahore, Pakistan"
Mandarin Kitchen,4.2,"Dine-in, Takeout, Delivery","57 L Block L Gulberg 2, Lahore, Punjab 54000, Pakistan",http://www.mandarin.pk/,+92 340 0000116,"G89X+WX Lahore, Pakistan"
P.F. Chang's,4.2,"Dine-in, Curbside pickup, No-contact delivery","17 - C1 MM Alam Rd, Block C1 Block C 1 Gulberg III, Lahore, Punjab 54000, Pakistan",http://www.pfchangspk.com/,+92 42 35781651,"G982+FJ Lahore, Pakistan"
Tree Lounge,3.9,"Dine-in, Takeout, Delivery","WB Mall, Noor Jahan Road (Above Gourmet), Liberty 6C، 3, Block C 3 Gulberg III, Lahore, Punjab 54000, Pakistan",https://www.facebook.com/TreeLounge.Restaurant/,+92 342 8888733,"G85W+2V Lahore, Pakistan"
Hashery Cafe & Grill,4.2,"Dine-in, Takeout, Delivery","102 MM Alam Rd, Block K Block B 2 Gulberg III, Lahore, Punjab 54000, Pakistan",NA,NA,"G8CX+WP Lahore, Pakistan"
Urban Kitchen,4.0,"Dine-in, Takeout, Delivery","Opposite Mall 1, Main Boulevard, Gulberg , Lahore (opp. Mocca 95 D Gulberg 3, opposite Mall 1, opp. Mocca, Block D1 Gulberg, Lahore, Punjab 54000, Pakistan",https://urbankitchen.pk/,+92 332 8722656,"G89W+GH Lahore, Pakistan"
Gabbar Family Restaurant,4.3,"Dine-in, Takeout, Delivery","39 Pir Ghazi Road, Ichhra Lahore, Punjab 54000, Pakistan",NA,+92 304 0733335,"G8M7+9G Lahore, Pakistan"
Bundu Khan Restaurant - Allama Iqbal Town,4.1,"Dine-in, Takeout, Delivery","12 Service Rd, Sutlej Block Satluj Block Allama Iqbal Town, Lahore, Punjab 54000, Pakistan",http://www.bundukhan.pk/,+92 42 37804572,"G7CR+99 Lahore, Pakistan"
Nisa Sultan Turkish Cuisine,4.1,"Dine-in, Drive-through, No-contact delivery","Block C1 Block C 1 Gulberg III, Lahore, Punjab, Pakistan",https://nisasultanofficial.com/,+92 42 35785670,"G9G4+G6 Lahore, Pakistan"
AlKhan,4.3,"Dine-in, Takeout, No-contact delivery","F69V+93, Chowk, Block B Thoker Niaz Baig, Lahore, Punjab 54000, Pakistan",http://www.alkhan.com.pk/,+92 42 35312906,NA
The Balcony Lahore,4.1,"Dine-in, Delivery","94-D-1 Main Boulevard Gulberg, Block D1 Gulberg III, Lahore, Punjab, Pakistan",http://www.facebook.com/thebalconylahore,+92 310 0001180,"G89W+G8 Lahore, Pakistan"
El Momento Lahore,4.3,"Dine-in, Curbside pickup, No-contact delivery","Floor, Building 43-L2, Ground, Mini Market, MM Alam Rd, Block L Gulberg 2, Lahore, Punjab 54000, Pakistan",https://elmomento.pk/el-momento-lahore/,+92 311 1100315,"G9C2+6M Lahore, Pakistan"
The Pantry by the Polo Lounge,4.2,"Dine-in, Takeout, Delivery","Shop No 10، Mall 1، 94-D Main Blvd Gulberg, Block D1 Gulberg III, Lahore, Punjab 54000, Pakistan",https://mobile.facebook.com/ThePantrybyTPL?_rdr,+92 42 35790127,"G89W+F9 Lahore, Pakistan"
Lahori Barbecue Rooftop,4.8,"Dine-in, Curbside pickup, No-contact delivery","81CII, Off, MM Alam Rd, Block C 2 Gulberg III, Lahore, Punjab 54000, Pakistan",http://www.obanhotel.pk/,+92 42 35771741,"G86X+4F Lahore, Pakistan"
Howdy Rooftop,4.3,"Dine-in, Takeout, No-contact delivery","Rooftop, 9c Building, MM Alam Rd, Lahore, 54000, Pakistan",https://www.howdy.pk/,+92 42 111 146 939,"G962+75 Lahore, Pakistan"
The Brasserie,4.1,"Dine-in, Takeout, Delivery","94 D1, Mall, 1 Main Blvd Gulberg, Block D1 Gulberg III, Lahore, Punjab, Pakistan",https://thebrasserie.com.pk/,+92 42 35790051,"G89W+G9 Lahore, Pakistan"
